CLUE small area,total_seats,abs_name,median_weekly_income,population,seats_per_1000
Melbourne (CBD),72698,Melbourne (CBD),1318.9530755794742,42366,1715.9514705188124
Southbank,16141,Southbank,1929.8387697216806,22564,715.343024286474
Carlton,13738,Carlton,1289,16655,824.8574001801261
Docklands,12671,Docklands,1956,15493,817.8532240366617
North Melbourne,3524,North Melbourne,1718,15637,225.36292127645967
Parkville,2158,Parkville,1885,7297,295.7379745100726
East Melbourne,2018,East Melbourne,2345,4896,412.1732026143791
West Melbourne (Residential),1673,West Melbourne - Residential,1784,7446,224.68439430566747
Kensington,1272,Kensington (Vic.),2216,10745,118.38064215914379
Port Melbourne,912,Port Melbourne,2347,16192,56.32411067193676
South Yarra,744,South Yarra,2077.7948755171665,27554,27.001524279596428
