Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Longitude,Latitude,location
2014,68,107766,107766,22 Punch Lane MELBOURNE 3000,Melbourne (CBD),Lucattini's Italian Restaurant,"Ground , 22 Punch Lane MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,54,144.9710753,-37.81036225,"-37.81036225, 144.9710753"
2014,68,108989,108989,199-207 Spring Street MELBOURNE 3000,Melbourne (CBD),Hudson's Coffee,"Shop 3, 201 Spring Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,31,144.972059425,-37.81012699,"-37.81012699, 144.972059425"
2014,72,105375,105375,276-282 King Street MELBOURNE 3000,Melbourne (CBD),Urban Bento Rock,"Shop 1, 280 King Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,30,144.954822193,-37.81349786,"-37.81349786, 144.954822193"
2014,72,105375,105375,276-282 King Street MELBOURNE 3000,Melbourne (CBD),Lee's Chinese Gourmet,"Shop 5, 280 King Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,30,144.954822193,-37.81349786,"-37.81349786, 144.954822193"
2014,72,105725,105725,552-554 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Le Traiteur,"Ground , 552 Lonsdale Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,30,144.955877918,-37.81385045,"-37.81385045, 144.955877918"
2014,72,105727,105727,528-538 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Wheat Restaurant & Bar,534 Lonsdale Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Outdoor,20,144.956421699,-37.81365662,"-37.81365662, 144.956421699"
2014,72,105727,105727,528-538 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),@ Rice On Lonsdale,536 Lonsdale Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Outdoor,12,144.956421699,-37.81365662,"-37.81365662, 144.956421699"
2014,72,106023,106023,551-555 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),1st Salt And Pepper Chicken,"Shop 2, 551-555 Little Lonsdale Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,24,144.955565264,-37.81329521,"-37.81329521, 144.955565264"
2014,72,110103,110103,247-257 William Street MELBOURNE 3000,Melbourne (CBD),Petty Sessions Cafe,"Part Ground , 255 William Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,27,144.956697878,-37.81317907,"-37.81317907, 144.956697878"
2014,72,105726,110707,550 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Donoghue's,"Shop , 550 Lonsdale Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,40,144.956016943,-37.8134766,"-37.8134766, 144.956016943"
